count,src,dst,src_lat,src_lon,dst_lat,dst_lon
1931,Costa da Mina,Bahia,5.0955815,-1.3620045,-12.9015515,-38.5759982
1256,Luanda,Rio de Janeiro,-8.8272699,13.2439512,-22.9110137,-43.2093727
987,Afrique,Jamaïque,4.0360601,9.585911,17.9712148,-76.7928128
864,Afrique,La Havane,4.0360601,9.585911,23.135305,-82.3589631
809,Afrique,Barbade,4.0360601,9.585911,13.1500331,-59.5250305
756,Luanda,Pernambouc,-8.8272699,13.2439512,-8.0431118,-35.0901104
735,Luanda,Bahia,-8.8272699,13.2439512,-12.9015515,-38.5759982
505,Benguela,Rio de Janeiro,-12.5790048,13.4037117,-22.9110137,-43.2093727
389,Cabinda,Rio de Janeiro,-5.5576435,12.1919468,-22.9110137,-43.2093727
382,Afrique,Cuba,4.0360601,9.585911,23.0131338,-80.8328748
351,Bonny,Jamaïque,4.4340554,7.1754202,17.9712148,-76.7928128
331,Côte de l’Or,Jamaïque,5.10362695,-1.24110041642788,17.9712148,-76.7928128
260,Anomabu,Jamaïque,5.1783461,-1.1215406,17.9712148,-76.7928128
250,Sainte-Hélène,Jamaïque,-15.9446071,-5.6898773,17.9712148,-76.7928128
224,Sainte-Hélène,Cap-Français,-15.9446071,-5.6898773,19.7422835,-72.2460951
221,Afrique,Antigua,4.0360601,9.585911,17.1184569,-61.8448509
194,Afrique,Saint-Kitts,4.0360601,9.585911,17.3022134,-62.7343184
191,Benguela,Bahia,-12.5790048,13.4037117,-12.9015515,-38.5759982
179,Whydah,Bahia,4.0360601,9.585911,-12.9015515,-38.5759982
173,Mozambique,Rio de Janeiro,-25.8962586,32.6106835,-22.9110137,-43.2093727
168,Afrique,Santiago de Cuba,4.0360601,9.585911,20.0214637,-75.8294928
162,Malembo,Bahia,-5.3392391,12.1886158,-12.9015515,-38.5759982
157,Afrique,Bahia,4.0360601,9.585911,-12.9015515,-38.5759982
156,Côte de l’Or,Barbade,5.10362695,-1.24110041642788,13.1500331,-59.5250305
144,Bissau,Maranhao,11.861324,-15.583055,-2.5604581,-44.3405232
141,Afrique,Martinique,4.0360601,9.585911,14.6340316,-61.1785835
137,Sainte-Hélène,Carthagène,-15.9446071,-5.6898773,10.4002805,-75.5497251
132,Whydah,Cap-Français,4.0360601,9.585911,19.7422835,-72.2460951
132,Gambie,Charleston,13.470062,-15.4900464,32.7884363,-79.9399309
131,Afrique,Charleston,4.0360601,9.585911,32.7884363,-79.9399309
127,Luanda,Veracruz,-8.8272699,13.2439512,19.333333,-96.666667
125,Cabinda,Bahia,-5.5576435,12.1919468,-12.9015515,-38.5759982
123,Quélimane,Rio de Janeiro,-17.8575108,36.9039448,-22.9110137,-43.2093727
123,Bissau,Carthagène,11.861324,-15.583055,10.4266746,-75.5443419
121,Afrique,Carthagène,4.0360601,9.585911,10.4266746,-75.5443419
120,Costa da Mina,Pernambouc,5.0955815,-1.3620045,-8.0431118,-35.0901104
114,Luanda,Carthagène,-8.8272699,13.2439512,10.4266746,-75.5443419
113,Côte de l’Or,Suriname,5.10362695,-1.24110041642788,4.1413025,-56.0771187
111,Malembo,Cap-Français,-5.3392391,12.1886158,19.7422835,-72.2460951
110,São Tomé,Bahia,0.3389242,6.7313031,-12.9015515,-38.5759982
109,Whydah,Martinique,4.0360601,9.585911,14.6340316,-61.1785835
106,Sainte-Hélène,Nouvelle-Espagne,-15.9446071,-5.6898773,19.3204228,-99.3174218
103,Calabar,Jamaïque,4.9795999,8.3373597,17.9712148,-76.7928128
103,Afrique,Nouvelle-Espagne,4.0360601,9.585911,19.3204228,-99.3174218